item_code,dimension,facet,include_in_main_scale,reverse_scored,item_text,rating
A12,Aufmerksamkeitsarchitektur,Fokus_in_Stresssituationen,TRUE,FALSE,Ich kann mich auch in unstrukturierten Situationen (zum Beispiel kurz vor Prüfungen) gut fokussieren.,4
A13,Aufmerksamkeitsarchitektur,Chronotyp_Schlafzeit_Wochentag,FALSE,FALSE,An Tagen mit Lehrveranstaltungen gehe ich typischerweise vor 23:00 Uhr schlafen.,2
A14,Aufmerksamkeitsarchitektur,Chronotyp_Aufwachzeit_Wochentag,FALSE,FALSE,An Tagen mit Lehrveranstaltungen wache ich ohne Wecker vor 7:00 Uhr auf.,1
A15,Aufmerksamkeitsarchitektur,Chronotyp_Leistungshoch_vormittag,FALSE,FALSE,Meine mentale Leistungsfähigkeit ist zwischen 8:00 und 12:00 Uhr am höchsten.,2
A16,Aufmerksamkeitsarchitektur,Chronotyp_Leistungshoch_abend,FALSE,FALSE,Meine mentale Leistungsfähigkeit ist zwischen 19:00 und 23:00 Uhr am höchsten.,5
S1,Sensorische Verarbeitung,Lärmempfindlichkeit,TRUE,FALSE,In lauten oder hektischen Umgebungen fühle ich mich schnell überreizt.,2
S2,Sensorische Verarbeitung,Lichtempfindlichkeit,TRUE,FALSE,Grelle Beleuchtung oder flackernde Bildschirme stören mich beim Lernen.,1
S3,Sensorische Verarbeitung,Detailwahrnehmung,TRUE,FALSE,Ich nehme kleine Details in meiner Umgebung schnell wahr.,3
S4,Sensorische Verarbeitung,Ordnung_Umgebung,TRUE,FALSE,"Wenn es um mich herum unordentlich ist, fällt mir konzentriertes Arbeiten schwer.",2
S5,Sensorische Verarbeitung,Erholung_nach_Reiz,TRUE,FALSE,"Nach einem Tag mit vielen sensorischen Eindrücken (Lärm, Menschen, Medien) brauche ich deutlich mehr Erholung als sonst.",2
S6,Sensorische Verarbeitung,Sensation_Seeking,TRUE,TRUE,"Ich suche bewusst Umgebungen mit viel Trubel und Reizen, weil ich mich dort wacher fühle.",5
S7,Sensorische Verarbeitung,Musik_Positive_Wirkung,TRUE,TRUE,Hintergrundmusik beim Lernen empfinde ich meistens als angenehm.,5
S8,Sensorische Verarbeitung,Musik_Ablenkung,TRUE,FALSE,Hintergrundmusik beim Lernen lenkt mich meistens ab.,1
S9,Sensorische Verarbeitung,Coping_Strategien_Reize,TRUE,FALSE,"Ich habe Strategien, um unerwünschte Reize auszublenden (zum Beispiel Kopfhörer, bestimmter Lernort).",3
S10,Sensorische Verarbeitung,Neue_Reize_Positive_Wirkung,TRUE,TRUE,"Neue, intensive sensorische Eindrücke (zum Beispiel neue Orte, Geräusche) inspirieren mich beim Lernen.",5
S11,Sensorische Verarbeitung,Multisensory_Ermüdung,TRUE,FALSE,Mehrere parallele Sinnesreize (zum Beispiel Video mit Text und zusätzlichen Chat-Nachrichten) machen mich schnell müde.,2
S12,Sensorische Verarbeitung,Umgebungsgestaltung_aktiv,TRUE,FALSE,"Ich gestalte meine Lernumgebung bewusst (Licht, Temperatur, Ordnung), um optimal arbeiten zu können.",3
S13,Sensorische Verarbeitung,Multisensorische_Lernpräferenz,TRUE,FALSE,"Ich lerne am besten, wenn Lerninhalte multimodal aufbereitet sind (z. B. Video mit Notizen und Diskussion).",5
SO1,Soziale Energetik,Soziale_Aufladung,TRUE,FALSE,Nach längeren sozialen Situationen fühle ich mich eher aufgeladen als erschöpft.,5
SO2,Soziale Energetik,Alleinlernen_Präferenz,TRUE,TRUE,Ich lerne lieber allein als in Gruppen.,1
SO3,Soziale Energetik,Gruppenarbeit_Energieminus,TRUE,TRUE,"Gruppenarbeit kostet mich mehr Energie, als sie mir gibt.",1
SO4,Soziale Energetik,Diskussion_Nutzen,TRUE,FALSE,Ich profitiere fachlich stark von Diskussionen mit anderen.,5
SO5,Soziale Energetik,Erholung_Alleinsein,TRUE,TRUE,Nach einem intensiven Lerntag erhole ich mich am besten allein.,1
SO6,Soziale Energetik,Kleine_vertraute_Gruppen,TRUE,FALSE,"Ich arbeite am liebsten in kleinen, vertrauten Gruppen (zwei bis drei Personen).",4
SO7,Soziale Energetik,Zurückhaltung_große_Gruppen,TRUE,TRUE,"In großen Gruppen (zum Beispiel Seminar, Online-Meeting) halte ich mich eher im Hintergrund.",1
SO8,Soziale Energetik,Live_Sitzungen_Motivation,TRUE,FALSE,Live-Sitzungen (synchron) motivieren mich stärker als aufgezeichnete Inhalte.,5
SO9,Soziale Energetik,Asynchron_Präferenz,TRUE,TRUE,"Asynchrones Arbeiten (zum Beispiel über Foren, geteilte Dokumente) ist für mich weniger anstrengend als Live-Meetings.",1
SO10,Soziale Energetik,Erklären_als_Energiequelle,TRUE,FALSE,"Wenn ich anderen Lernstoff erkläre, gewinne ich dadurch Energie und Klarheit.",5
SO11,Soziale Energetik,Soziale_Planung,TRUE,FALSE,"Ich plane bewusst, wann ich soziale Lernformate nutze und wann ich mich zurückziehe.",3
SO12,Soziale Energetik,Soziale_Unterstützung_Nutzen,TRUE,FALSE,"Wenn ich fachlich nicht weiterkomme, hole ich mir aktiv Hilfe von anderen.",5
SO13,Soziale Energetik,Isolation_bei_Überforderung,TRUE,TRUE,"Wenn ich überfordert bin, ziehe ich mich zurück, statt Unterstützung zu suchen.",2
E1,Exekutive Funktionen & Strukturbedürfnis,Planung_Teilschritte,TRUE,FALSE,Ich kann komplexe Lernaufgaben in sinnvolle Teilschritte zerlegen.,4
E2,Exekutive Funktionen & Strukturbedürfnis,Strukturbedarf_Start,TRUE,TRUE,"Ohne klare Aufgabenbeschreibung fällt es mir schwer, loszulegen.",2
E3,Exekutive Funktionen & Strukturbedürfnis,Überblick_bei_Vielzahl_Aufgaben,TRUE,TRUE,Ich verliere in Projekten mit vielen Teilaufgaben schnell den Überblick.,3
E4,Exekutive Funktionen & Strukturbedürfnis,Nutzung_Organisationstools,TRUE,FALSE,"To-do-Listen, Checklisten oder Kanban-Boards helfen mir erheblich, beim Lernen organisiert zu bleiben.",3
E5,Exekutive Funktionen & Strukturbedürfnis,Vorliebe_vorgegebene_Struktur,TRUE,FALSE,Ich halte mich gern an vorgegebene Lernpläne oder Strukturen.,2
E6,Exekutive Funktionen & Strukturbedürfnis,Flexible_Nutzung_von_Plänen,TRUE,FALSE,"Wenn ich einen Lernplan habe, kann ich mich gut daran orientieren, ohne zu sehr daran zu klammern.",4
E7,Exekutive Funktionen & Strukturbedürfnis,Spontane_Improvisation,TRUE,TRUE,"Ich improvisiere lieber spontan, statt meinen Lernprozess vorab detailliert zu planen.",5
E8,Exekutive Funktionen & Strukturbedürfnis,Durchhaltevermögen,TRUE,FALSE,"Ich bleibe auch dann an Aufgaben dran, wenn sie langweilig oder mühsam werden.",3
E9,Exekutive Funktionen & Strukturbedürfnis,Re-Organisation_bei_Unterbrechungen,TRUE,FALSE,"Wenn unerwartete Aufgaben dazukommen, kann ich mein Lernen gut neu strukturieren.",5
E10,Exekutive Funktionen & Strukturbedürfnis,Kriterienbedarf_Qualität,TRUE,FALSE,"Ich brauche klare Kriterien, woran ich erkenne, ob eine Lernaufgabe gut genug erledigt ist.",3
E11,Exekutive Funktionen & Strukturbedürfnis,Detailverlorenheit,TRUE,TRUE,"Ich neige dazu, mich in Details zu verlieren und das Gesamtziel aus den Augen zu verlieren.",2
E12,Exekutive Funktionen & Strukturbedürfnis,Deadline_Koordination,TRUE,FALSE,"Ich kann mehrere parallele Deadlines koordinieren, ohne das Gefühl von Kontrollverlust.",4
E13,Exekutive Funktionen & Strukturbedürfnis,Arbeitsgedächtnis_Multitasking,TRUE,TRUE,"Wenn ich mehrere Informationen gleichzeitig im Kopf behalten muss, überfordert mich das schnell.",2
E14,Exekutive Funktionen & Strukturbedürfnis,Instruktionskomplexität,TRUE,TRUE,"Lange mündliche Anweisungen kann ich mir schlecht merken, ich brauche sie schriftlich.",3
E15,Exekutive Funktionen & Strukturbedürfnis,Lernprozess_Monitoring,TRUE,FALSE,"Ich reflektiere regelmäßig, ob meine Lernstrategie funktioniert, und passe sie gegebenenfalls an.",4
E16,Exekutive Funktionen & Strukturbedürfnis,Schwierigkeitseinschätzung,TRUE,FALSE,"Ich kann gut einschätzen, welche Lerninhalte ich schon verstanden habe und welche noch nicht.",4
M1,Motivationsarchitektur,Intrinsische_Motivation,TRUE,FALSE,"Ich lerne hauptsächlich, weil mich das Thema inhaltlich interessiert.",4
M2,Motivationsarchitektur,Vermeidungsorientierung,FALSE,FALSE,"Ich lerne hauptsächlich, um Fehler, Kritik oder Misserfolg zu vermeiden.",2
M3,Motivationsarchitektur,Zielorientierung,TRUE,FALSE,"Konkrete Ziele (zum Beispiel Noten, Zertifikate) motivieren mich stark.",3
M4,Motivationsarchitektur,Fortschrittsanzeige,TRUE,FALSE,"Wenn ich sichtbare Fortschritte sehe (zum Beispiel erledigte Aufgaben, Fortschrittsbalken), bleibe ich leichter dran.",4
M5,Motivationsarchitektur,Feedbackbedarf,TRUE,FALSE,"Ich brauche regelmäßiges Feedback, um motiviert zu bleiben.",4
M6,Motivationsarchitektur,Feedbackdetailgrad,TRUE,FALSE,Sehr detailliertes Feedback (warum etwas gut oder schlecht ist) ist mir wichtig.,3
M7,Motivationsarchitektur,Feedbacktonalität_Positive,TRUE,FALSE,"Positives, ermutigendes Feedback motiviert mich deutlich mehr als nüchternes Feedback.",5
M8,Motivationsarchitektur,Feedbacktonalität_Kritisch,TRUE,FALSE,"Konstruktiv-kritisches Feedback hilft mir, auch wenn es unangenehm ist.",4
M9,Motivationsarchitektur,Prokrastination,FALSE,FALSE,"Ich neige dazu, Lernaufgaben aufzuschieben, selbst wenn sie wichtig sind.",3
M10,Motivationsarchitektur,Interesse_Flow,TRUE,FALSE,"Wenn ich eine Aufgabe spannend finde, vergesse ich oft Zeit und Aufwand.",5
M11,Motivationsarchitektur,Extrinsische_Belohnung,TRUE,FALSE,"Belohnungen oder Anreize von außen (zum Beispiel Punkte, Gamification) steigern meine Lernmotivation.",4
M12,Motivationsarchitektur,Persistenz_ohne_Feedback,TRUE,FALSE,Ich bleibe auch ohne direkte Rückmeldung an Lernaufgaben dran.,3
M13,Motivationsarchitektur,Intrinsische_Motivation_reversed,TRUE,TRUE,"Ohne äußeren Druck (Noten, Deadlines) fällt es mir schwer, mit Lernaufgaben zu beginnen.",3
M14,Motivationsarchitektur,Feedbackabhängigkeit_reversed,TRUE,TRUE,"Wenn ich länger kein Feedback bekomme, sinkt meine Motivation deutlich.",4
M15,Motivationsarchitektur,Zielorientierung_reversed,TRUE,TRUE,"Auch wenn ich das Ziel erreicht habe (zum Beispiel Prüfung bestanden), lerne ich oft weiter am Thema.",3
M16,Motivationsarchitektur,Extrinsische_Abhängigkeit,TRUE,TRUE,Ohne Belohnungen oder Anreize von außen würde ich deutlich weniger lernen.,3
M17,Motivationsarchitektur,Wenn_Dann_Planung,TRUE,FALSE,"Ich nutze Wenn-Dann-Pläne (zum Beispiel 'Wenn es 14 Uhr ist, dann beginne ich mit Kapitel 3').",2
M18,Motivationsarchitektur,Commitment_Strategien,TRUE,FALSE,"Ich teile anderen meine Lernziele mit, um mich dadurch zu verpflichten.",4
R1,Autonome Regulation / Stress & Vigilanz,Subjektives_Stressniveau,TRUE,TRUE,In den letzten Wochen habe ich mich häufig innerlich angespannt gefühlt.,2
R2,Autonome Regulation / Stress & Vigilanz,Abschalten_Abends,TRUE,TRUE,"Es fällt mir schwer, abends mental abzuschalten und nicht mehr an Lernstoff zu denken.",2
R3,Autonome Regulation / Stress & Vigilanz,Erschöpfung_nach_Lernen,TRUE,TRUE,Nach längeren Lerneinheiten fühle ich mich eher erschöpft als zufrieden.,2
R4,Autonome Regulation / Stress & Vigilanz,Stress_durch_Unvorhergesehenes,TRUE,TRUE,Unvorhergesehene Änderungen im Lernplan stressen mich deutlich.,2
R5,Autonome Regulation / Stress & Vigilanz,Wahrnehmung_körperlicher_Stresszeichen,TRUE,FALSE,"Ich kann körperliche Anzeichen von Stress (zum Beispiel Herzklopfen, flache Atmung) bei mir erkennen.",4
R6,Autonome Regulation / Stress & Vigilanz,Kurzpausen_Regulation,TRUE,FALSE,"Ich nutze bewusst kleine Pausen, um mein Anspannungsniveau zu regulieren (z. B. Atmung, kurze Bewegung).",3
R7,Autonome Regulation / Stress & Vigilanz,Abendroutinen_Regeneration,TRUE,FALSE,"Ich habe Routinen, die mir helfen, nach dem Lernen herunterzukommen.",3
R8,Autonome Regulation / Stress & Vigilanz,Druck_als_Leistungsfaktor,TRUE,FALSE,"Wenn ich unter Druck stehe, lerne ich manchmal effektiver als ohne Druck.",4
R9,Autonome Regulation / Stress & Vigilanz,Schlaf_in_Stressphasen,TRUE,TRUE,Ich schlafe in Prüfungsphasen schlechter als sonst.,2
R10,Autonome Regulation / Stress & Vigilanz,Belastungsausgleich,TRUE,FALSE,Nach Tagen mit hoher Belastung plane ich bewusst entlastende Aktivitäten ein.,4
R11,Autonome Regulation / Stress & Vigilanz,Prioritätensetzung_in_Stress,TRUE,FALSE,"Ich kann in Stressphasen Prioritäten setzen, ohne in Panik zu geraten.",4
R12,Autonome Regulation / Stress & Vigilanz,Belastungsgrenze_Wahrnehmung,TRUE,FALSE,"Ich spüre frühzeitig, wenn meine Belastungsgrenze erreicht ist, und reagiere darauf.",4
