item_code,dimension,facet,include_in_main_scale,reverse_scored,item_text,rating
SO9,Soziale Energetik,Asynchron_Präferenz,TRUE,TRUE,"Asynchrones Arbeiten (zum Beispiel über Foren, geteilte Dokumente) ist für mich weniger anstrengend als Live-Meetings.",5
SO10,Soziale Energetik,Erklären_als_Energiequelle,TRUE,FALSE,"Wenn ich anderen Lernstoff erkläre, gewinne ich dadurch Energie und Klarheit.",2
SO11,Soziale Energetik,Soziale_Planung,TRUE,FALSE,"Ich plane bewusst, wann ich soziale Lernformate nutze und wann ich mich zurückziehe.",5
SO12,Soziale Energetik,Soziale_Unterstützung_Nutzen,TRUE,FALSE,"Wenn ich fachlich nicht weiterkomme, hole ich mir aktiv Hilfe von anderen.",3
SO13,Soziale Energetik,Isolation_bei_Überforderung,TRUE,TRUE,"Wenn ich überfordert bin, ziehe ich mich zurück, statt Unterstützung zu suchen.",4
E1,Exekutive Funktionen & Strukturbedürfnis,Planung_Teilschritte,TRUE,FALSE,Ich kann komplexe Lernaufgaben in sinnvolle Teilschritte zerlegen.,5
E2,Exekutive Funktionen & Strukturbedürfnis,Strukturbedarf_Start,TRUE,TRUE,"Ohne klare Aufgabenbeschreibung fällt es mir schwer, loszulegen.",4
E3,Exekutive Funktionen & Strukturbedürfnis,Überblick_bei_Vielzahl_Aufgaben,TRUE,TRUE,Ich verliere in Projekten mit vielen Teilaufgaben schnell den Überblick.,3
E4,Exekutive Funktionen & Strukturbedürfnis,Nutzung_Organisationstools,TRUE,FALSE,"To-do-Listen, Checklisten oder Kanban-Boards helfen mir erheblich, beim Lernen organisiert zu bleiben.",5
E5,Exekutive Funktionen & Strukturbedürfnis,Vorliebe_vorgegebene_Struktur,TRUE,FALSE,Ich halte mich gern an vorgegebene Lernpläne oder Strukturen.,5
E6,Exekutive Funktionen & Strukturbedürfnis,Flexible_Nutzung_von_Plänen,TRUE,FALSE,"Wenn ich einen Lernplan habe, kann ich mich gut daran orientieren, ohne zu sehr daran zu klammern.",4
E7,Exekutive Funktionen & Strukturbedürfnis,Spontane_Improvisation,TRUE,TRUE,"Ich improvisiere lieber spontan, statt meinen Lernprozess vorab detailliert zu planen.",2
E8,Exekutive Funktionen & Strukturbedürfnis,Durchhaltevermögen,TRUE,FALSE,"Ich bleibe auch dann an Aufgaben dran, wenn sie langweilig oder mühsam werden.",5
E9,Exekutive Funktionen & Strukturbedürfnis,Re-Organisation_bei_Unterbrechungen,TRUE,FALSE,"Wenn unerwartete Aufgaben dazukommen, kann ich mein Lernen gut neu strukturieren.",3
E10,Exekutive Funktionen & Strukturbedürfnis,Kriterienbedarf_Qualität,TRUE,FALSE,"Ich brauche klare Kriterien, woran ich erkenne, ob eine Lernaufgabe gut genug erledigt ist.",5
E11,Exekutive Funktionen & Strukturbedürfnis,Detailverlorenheit,TRUE,TRUE,"Ich neige dazu, mich in Details zu verlieren und das Gesamtziel aus den Augen zu verlieren.",4
E12,Exekutive Funktionen & Strukturbedürfnis,Deadline_Koordination,TRUE,FALSE,"Ich kann mehrere parallele Deadlines koordinieren, ohne das Gefühl von Kontrollverlust.",4
E13,Exekutive Funktionen & Strukturbedürfnis,Arbeitsgedächtnis_Multitasking,TRUE,TRUE,"Wenn ich mehrere Informationen gleichzeitig im Kopf behalten muss, überfordert mich das schnell.",4
E14,Exekutive Funktionen & Strukturbedürfnis,Instruktionskomplexität,TRUE,TRUE,"Lange mündliche Anweisungen kann ich mir schlecht merken, ich brauche sie schriftlich.",5
E15,Exekutive Funktionen & Strukturbedürfnis,Lernprozess_Monitoring,TRUE,FALSE,"Ich reflektiere regelmäßig, ob meine Lernstrategie funktioniert, und passe sie gegebenenfalls an.",5
E16,Exekutive Funktionen & Strukturbedürfnis,Schwierigkeitseinschätzung,TRUE,FALSE,"Ich kann gut einschätzen, welche Lerninhalte ich schon verstanden habe und welche noch nicht.",5
M1,Motivationsarchitektur,Intrinsische_Motivation,TRUE,FALSE,"Ich lerne hauptsächlich, weil mich das Thema inhaltlich interessiert.",5
M2,Motivationsarchitektur,Vermeidungsorientierung,FALSE,FALSE,"Ich lerne hauptsächlich, um Fehler, Kritik oder Misserfolg zu vermeiden.",4
M3,Motivationsarchitektur,Zielorientierung,TRUE,FALSE,"Konkrete Ziele (zum Beispiel Noten, Zertifikate) motivieren mich stark.",4
M4,Motivationsarchitektur,Fortschrittsanzeige,TRUE,FALSE,"Wenn ich sichtbare Fortschritte sehe (zum Beispiel erledigte Aufgaben, Fortschrittsbalken), bleibe ich leichter dran.",5
M5,Motivationsarchitektur,Feedbackbedarf,TRUE,FALSE,"Ich brauche regelmäßiges Feedback, um motiviert zu bleiben.",4
M6,Motivationsarchitektur,Feedbackdetailgrad,TRUE,FALSE,Sehr detailliertes Feedback (warum etwas gut oder schlecht ist) ist mir wichtig.,5
M7,Motivationsarchitektur,Feedbacktonalität_Positive,TRUE,FALSE,"Positives, ermutigendes Feedback motiviert mich deutlich mehr als nüchternes Feedback.",4
M8,Motivationsarchitektur,Feedbacktonalität_Kritisch,TRUE,FALSE,"Konstruktiv-kritisches Feedback hilft mir, auch wenn es unangenehm ist.",5
M9,Motivationsarchitektur,Prokrastination,FALSE,FALSE,"Ich neige dazu, Lernaufgaben aufzuschieben, selbst wenn sie wichtig sind.",2
M10,Motivationsarchitektur,Interesse_Flow,TRUE,FALSE,"Wenn ich eine Aufgabe spannend finde, vergesse ich oft Zeit und Aufwand.",5
M11,Motivationsarchitektur,Extrinsische_Belohnung,TRUE,FALSE,"Belohnungen oder Anreize von außen (zum Beispiel Punkte, Gamification) steigern meine Lernmotivation.",3
M12,Motivationsarchitektur,Persistenz_ohne_Feedback,TRUE,FALSE,Ich bleibe auch ohne direkte Rückmeldung an Lernaufgaben dran.,4
M13,Motivationsarchitektur,Intrinsische_Motivation_reversed,TRUE,TRUE,"Ohne äußeren Druck (Noten, Deadlines) fällt es mir schwer, mit Lernaufgaben zu beginnen.",2
M14,Motivationsarchitektur,Feedbackabhängigkeit_reversed,TRUE,TRUE,"Wenn ich länger kein Feedback bekomme, sinkt meine Motivation deutlich.",3
M15,Motivationsarchitektur,Zielorientierung_reversed,TRUE,TRUE,"Auch wenn ich das Ziel erreicht habe (zum Beispiel Prüfung bestanden), lerne ich oft weiter am Thema.",4
M16,Motivationsarchitektur,Extrinsische_Abhängigkeit,TRUE,TRUE,Ohne Belohnungen oder Anreize von außen würde ich deutlich weniger lernen.,2
M17,Motivationsarchitektur,Wenn_Dann_Planung,TRUE,FALSE,"Ich nutze Wenn-Dann-Pläne (zum Beispiel 'Wenn es 14 Uhr ist, dann beginne ich mit Kapitel 3').",5
M18,Motivationsarchitektur,Commitment_Strategien,TRUE,FALSE,"Ich teile anderen meine Lernziele mit, um mich dadurch zu verpflichten.",3
R1,Autonome Regulation / Stress & Vigilanz,Subjektives_Stressniveau,TRUE,TRUE,In den letzten Wochen habe ich mich häufig innerlich angespannt gefühlt.,4
R2,Autonome Regulation / Stress & Vigilanz,Abschalten_Abends,TRUE,TRUE,"Es fällt mir schwer, abends mental abzuschalten und nicht mehr an Lernstoff zu denken.",4
R3,Autonome Regulation / Stress & Vigilanz,Erschöpfung_nach_Lernen,TRUE,TRUE,Nach längeren Lerneinheiten fühle ich mich eher erschöpft als zufrieden.,3
R4,Autonome Regulation / Stress & Vigilanz,Stress_durch_Unvorhergesehenes,TRUE,TRUE,Unvorhergesehene Änderungen im Lernplan stressen mich deutlich.,5
R5,Autonome Regulation / Stress & Vigilanz,Wahrnehmung_körperlicher_Stresszeichen,TRUE,FALSE,"Ich kann körperliche Anzeichen von Stress (zum Beispiel Herzklopfen, flache Atmung) bei mir erkennen.",5
R6,Autonome Regulation / Stress & Vigilanz,Kurzpausen_Regulation,TRUE,FALSE,"Ich nutze bewusst kleine Pausen, um mein Anspannungsniveau zu regulieren (z. B. Atmung, kurze Bewegung).",5
R7,Autonome Regulation / Stress & Vigilanz,Abendroutinen_Regeneration,TRUE,FALSE,"Ich habe Routinen, die mir helfen, nach dem Lernen herunterzukommen.",5
R8,Autonome Regulation / Stress & Vigilanz,Druck_als_Leistungsfaktor,TRUE,FALSE,"Wenn ich unter Druck stehe, lerne ich manchmal effektiver als ohne Druck.",2
R9,Autonome Regulation / Stress & Vigilanz,Schlaf_in_Stressphasen,TRUE,TRUE,Ich schlafe in Prüfungsphasen schlechter als sonst.,4
R10,Autonome Regulation / Stress & Vigilanz,Belastungsausgleich,TRUE,FALSE,Nach Tagen mit hoher Belastung plane ich bewusst entlastende Aktivitäten ein.,5
R11,Autonome Regulation / Stress & Vigilanz,Prioritätensetzung_in_Stress,TRUE,FALSE,"Ich kann in Stressphasen Prioritäten setzen, ohne in Panik zu geraten.",4
R12,Autonome Regulation / Stress & Vigilanz,Belastungsgrenze_Wahrnehmung,TRUE,FALSE,"Ich spüre frühzeitig, wenn meine Belastungsgrenze erreicht ist, und reagiere darauf.",5
